Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Italian Fagoli Vegetable Soup,⭐⭐⭐⭐,Fairly Easy,I added pasta to make it heartier,Main Dish,45,Image 30 May 2017 05:01 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/nq7Y5RXETKecBLEIueXxZg/lxmgQ5StsoIMyjoFUCRXXyB3wNcEdpJ5t0M-uJrAld1si_RPbphJwrnZqfW-lLtyYOB2Opn2kWBE-K1-P3bqcw/oozxuh2qekXNKDQP25MoMegXYxYGdvm1gdvUZi6sCTA),Taste From Home,,"Vegetarian,Beans,Noodles",,,5/30/2017,6/29/2017
Blueberry Pie,⭐⭐⭐⭐⭐,Fairly Easy,,Dessert,120,Image 23 June 2017 10:41 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/e3aa25DVEUV5GOuhwrXDew/HRWO0JIwoD3bvomnZfHtyV4a0svrUn11sk2S1OsB7nTMUIkxbhJ_P8kqLU1i6KUl0_X_39aKXABI06CrrZ5mWA/pbR10gPZxFuVSnVKJ6V0Vwyg55_nDJt_JuzAF_2wQdo),,,,,,6/19/2017,7/9/2017
Chocolate Pudding,⭐⭐⭐⭐,Fairly Easy,,Dessert,30,,,,,,,6/21/2017,7/21/2017
Browned Butter Beets,⭐⭐⭐⭐⭐,Hard,Roast longer than you think,Side Dish,120,Image 23 June 2017 10:46 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/LQmKDNLintGhyROO8mpYZw/sD5_NngltXIFIWGUIWL-1G_8snZgQQkXp754666RV9mnHD2wXKXWLqmt4e1ErkAihuPHv5e105-JZQSVYMMzwA/7N93sYq0X4uWFH490f0yhgJu53WvoWu6_dSN97tu4M8),Taste From Home,,"Beets,Breadcrumbs",,,6/4/2017,6/24/2017
Turkey Soup with Homemade Noodles,⭐⭐⭐⭐,Average,,Main Dish,120,Image 23 June 2017 11:22 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/1Ff6tgZ0U_baMUAFv8Sd8g/2jHuDpNOKTw1Mi-zvldy5WE-wNLOrtqlIhcT2UN1PfFoW-jU1asMOnwu84vIs65TLP6kztpVB70dWfV-FN_uaQ/U0zUbzH9M0bcbsZYInUvADEOfek8GsQgJa__wZGaNUU),,,"Turkey,Noodles",,,11/17/2016,12/17/2016
Home fries,⭐⭐⭐⭐⭐,Super Simple,,Side Dish,45,Image 23 June 2017 11:27 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/bhD7UltgHlkk-cXfxfxVsQ/uGkmjY4FsOP2QkpUQXGS7z0QsqlYPqnyUIygqoaIFHVaGwnPPcaZKJCUEocfEeNPGNrWkvQb82su6c3EXBmXwg/jpBbEb1bhVvSWprn7rk1KUH_07XXhe7TX8HhgPUgA1I),,,Potatoes,,,,#ERROR
Chocolate Raspberry Torte,⭐⭐⭐⭐⭐,Hard,So good,Dessert,60,Image 23 June 2017 11:28 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/zA8kRlAdqSEqEOZXv6MTOQ/dDliLNtj9A3mm2xLV_Wl-Fg5lwy4RryrNOVDBAHz2UNMDcVID341XYanpnFPrfYGvucmDo2dD1tiqWc0yvTL2Q/OIZSHbsrTjl0Vrop7nuvCTvupkc0DkOASF2fHqIpNNY),,,"Eggs,Milk",,,10/11/2016,10/31/2016
Golden Latte,⭐⭐⭐⭐⭐,Super Simple,,Drink,20,Image 23 June 2017 11:31 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/adma2QIuvXICHtb8c-EeEg/jEPfkZM6v_8UyDKZKwen5cdGfctud-MqtAg9lfaL65Kp4clInMYiWUdWJBIEOfgyyFxiGNlYi5e88q3jM33Xfg/ir6M_RiMhVM7PBLn_BFt3G71GSLnx9x6H5kp8fcCBws),Taste of Home,,Milk,,,,#ERROR
Fig Shake,⭐⭐⭐⭐,Fairly Easy,,Drink,10,Image 25 June 2017 10:12 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/CYN8VWuF64NMdylTeKk4kw/pZTVlHfBjadizB-T4O13hsYQ1aAgpu0VJX4FOydXL0-Gf4L8qRUUtOoyxxjCm3SS5_AdBL-q7xlyH4OohzvZRQ/fVLoyLUSRo6v_Exvsi7Hpba7PKI8iTxlO7lMZiUxvCo),,,Milk,,,,#ERROR
Lentil Soup,⭐⭐⭐,Average,Double it next time,Main Dish,60,,Pinterest,,"Lentils,Vegetarian,Carrots,Onion",,http://www.recipetineats.com/lentil-soup/,8/27/2017,10/13/2017
Buckwheat Tabboulah,⭐,Super Simple,Use more buckwheat,Main Dish,30,,Pinterest,,"Buckwheat,Vegetarian,Carrots,Onion",,http://rawmanda.com/buckwheat-tabbouleh/,8/26/2017,11/7/2017
Lentil Rice Bowls with Egg,⭐⭐⭐⭐,Fairly Easy,Add rice in after 15 minutes and use more water,Main Dish,60,IMG_20170828_182603.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/YFt1XAGP1LdC_izNBgDj5A/6riSVHNOju_0dpwYO_JyA2zpzvvdB55iUxv-CMUsVroaQHwQ0w-s4FQGpQ2KPwJ1/mjfiOnHKvHn2Zbo-Ww-IkkUEhKgsu_uoCQn7YuAvIfA),Pinterest,,"Rice,Lentils,Onion",,https://www.thekitchn.com/recipe-brown-rice-bowl-with-lentils-caramelized-onions-fried-egg-223112,1/5/2019,2/4/2019
Italian Vegetable Lentil Soup,⭐⭐⭐⭐,Fairly Easy,,Main Dish,60,IMG_20170902_192742.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/cylJ0jnCYUaKsJUQ5cZ8Xw/STjNHajKyT3HbuoTj6OEU-4euFCP9pBrOhHYLY6XsbE4Gf4B--9T8OHvL5jy8hjA/qgsX04xHZJN2c8ubr0_Drk6o51AXn_SQZu4s8J3heao),Pinterest,,"Lentils,Onion,Vegetarian",,http://www.cookingclassy.com/italian-vegetable-lentil-soup/,6/26/2018,7/26/2018
One Pot Chicken & Potatoes,⭐⭐⭐⭐,Super Simple,,Main Dish,90,IMG_20170906_181313.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/Lkm_mWI3VeRMiKhXAkqVtg/emQbDonJB2sj5HS29ybzrrY_Onh2eHaIpvWqhqBaufFWy97t5ZtgSmQcSXJddyu_/Ky-XAQe94PFopROZWfvxkWxVWiw2IdBcbjeIApvDPQM),Pinterest,,"Potatoes,Chicken,Carrots,Onion",,http://letthebakingbeginblog.com/2014/05/one-pot-chicken-potatoes/,9/30/2018,10/30/2018
Sweet Korean Lentils,⭐⭐⭐⭐⭐,Fairly Easy,DELICIOUS,Main Dish,45,IMG_20170903_192529.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/ZS4s_AB6_NB2Ef9qo8R1kg/7pLwNDmfDrbXhv2wWB-b5yJTrhwbOy472lZ-Rw2zEWwhcPtW9UQmeDVgUtRiPT0w/vtpB-1y9vOgSBnhxBObuawsVOh9uoSGUp6uL0-TDFWM),Pinterest,,"Lentils,Rice,Onion",,https://itdoesnttastelikechicken.com/easyrecipe-print/7850-0/,2/18/2019,3/10/2019
Buckwheat Beetroot Salad,⭐⭐⭐,Average,,Main Dish,60,IMG_20170904_194839.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/s2dCu-8fTq2IYZCiU2SlTw/QhfyUkLy9hn-RUsL16lzdVul_MRVxBvl4Kfe__okHsn6-6Ac2TdirR3saS-nMzsi/yjng7VY4pTeQn0FAQ7xAJzCCHEXAUSuprPlXKfo6eV0),Pinterest,,"Beets,Buckwheat",,https://www.lazycatkitchen.com/warm-buckwheat-beetroot-salad/,12/13/2017,1/29/2018
New Potato Lentil Salad,⭐⭐⭐⭐,Fairly Easy,,Main Dish,50,IMG_20170905_205050.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/Erx3_jJtfB_hyIga5KtrVw/yr7uDYg6n8yDZwNBrUz5qLX3KyfYy0ZUm2NX5C2y0hcCWF3Pv3y9C19gVMsWBlsb/KZWHC_4b8tET5Kn1MAZCg3kbHOvhL5lPm2vxTGmQiVg),Pinterest,,"Potatoes,Lentils",,http://www.occasionallyeggs.com/2016/08/roasted-new-potato-salad-with-lentils.html,1/16/2019,2/15/2019
Ham & Potato Soup,⭐⭐⭐⭐,Average,Super yummy,Main Dish,60,IMG_20170910_191325.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/rWkf1-Mm80dtUCbP_bfquA/cGx-sZ1aSp1pe2punVj9ax4cVtNW3Yit4RoLdXioIYFqVKqiEs5tD9MRFo6VR5H_/HtCHtV9O465tcNofCXc1lJNNG-zXBbFpdHfJNr-6GF0),,,"Potatoes,Ham,Onion,Milk",,http://allrecipes.com/recipe/56927/delicious-ham-and-potato-soup/,7/15/2018,8/14/2018
Lemon Dill Potatoes,⭐⭐⭐⭐,Super Simple,,Main Dish,50,IMG_20170912_202005.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/OwtyO60M0zdSQdAu597hEA/JQqON8L7Qa_CBcnTq5aQf1d-5FxHu3ZayfLoZmCW_qsmaYnw3C4duIt1KHwlaNCT/3t_ep40wTEX___SjoxjT6KaAPX-LLs71LY2D7ZEdsOA),Pinterest,,Potatoes,,https://tastespace.wordpress.com/2015/07/18/creamy-lemon-dill-roasted-potato-salad/,12/16/2018,1/15/2019
BBQ Lentils,⭐⭐⭐,Fairly Easy,Very good,Main Dish,60,IMG_20171001_183430.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/vWbGAemTfbcZpeyinIDPKA/uT42_28YS5NZ_YDf4-nvzLmHgyXanlGewnp30drre0nD56PTXHeFyE_RuvTMl9ML/nmxrhrmIIFevNfZRqS_ES3IZyBrJcgDJnx1GokyceGM),Pinterest,,"Lentils,Rice",,https://www.rebootedmom.com/2017/08/05/barbecue-lentils-vegan-gluten-free-and-dairy-free/?utm_medium=social&utm_source=pinterest&utm_campaign=tailwind_tribes&utm_content=tribes,10/1/2017,11/17/2017
Healthy Buckwheat Soup,⭐⭐⭐,Super Simple,Eh,Main Dish,45,IMG_20170916_181235.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/3uQg48H2sAemd1Q4hvrM5Q/Mpbp9wQ3kSI5AQ9cVq-bX8oTOQC7rQ2tRARPrhxj3byLHTW6FwRXrEqY1M_Kdga_/Kod9d7IDT87rQkiXpLPOyA8ZovRuwQkPsP4jHDsAdoU),Pinterest,,"Buckwheat,Carrots,Onion",,http://momsdish.com/recipe/385/healthy-buckwheat-soup,12/17/2017,2/2/2018
Buckwheat Chicken Pilaf,⭐⭐⭐⭐⭐,Hard,Extremely good,Main Dish,120,IMG_20170920_214256.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/Hwx8bX41ODqWE9SAQuGxFA/zYuwS2Hv7iGar94kWTQVSJbbH5qc0jx2VPniAMpKql_EVK0RHCDcY7ocUj8xSYHb/KOtCOyUSG3ZjnnpJWj6dXeidkMR6cu1tOHhG3ehb35I),Pinterest,,"Buckwheat,Carrots,Chicken,Onion",,https://natashaskitchen.com/buckwheat-and-beef-pilaf-plov/,1/19/2019,2/8/2019
Vegetable Noodle Soup,⭐⭐⭐⭐,Super Simple,"Luke's favorite way to eat noodles.  Absorbs a lot of water, need to add more second day",Main Dish,40,IMG_20170925_215045.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/gHCIdf5PGpAPvxgJkwOxfQ/RmUn_TbR2ZfJnktBtNPxYVFgm-4Q8opsUeRAVL-PN09J9dGaa3JPblaa63YGUDIt/oOPArO7pT0_-AGXLQcckhqhlvzLNhacGzryLrdALyyQ),Pinterest,,"Carrots,Noodles",,http://thevegan8.com/2014/10/18/classic-vegan-noodle-soup/,8/28/2018,9/27/2018
Bacon and Honey Potato Salad,⭐⭐⭐,Fairly Easy,Don't cook bacon too long,Main Dish,45,IMG_20170926_202224.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/ErF3LLIYstXBzFrYlxD78Q/QobAhkQPxoauBrOxuXtVvOKaKdJDAcPh2A-9wB6WWbgBIUVqrt5PFELoCPrtdFl-/6J-BEw603-RRANdNy4UnQSMf1JMFfE5yY4ppA0CXMFI),Pinterest,,"Potatoes,Bacon",,https://www.smalltownwoman.com/warm-bacon-honey-mustard-potato-salad/,10/3/2017,11/19/2017
Pretzel Sticks,⭐⭐⭐⭐,Average,Flip pretzel sticks half way through,Baking Basics,60,IMG_20171004_185102.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/2Tn5qWDiuPlbQJk2CMcAvg/7EAZn_SXKSxx1KNeBGw-JYWaGdgp-2ppgz4K3PXdSbTJgsKCR65WpLXc8U4EPCE7/eTHlZz8FTC4rVcHb5r6qIY-Gi_neISsO0vPm3yZy6cI),Pinterest,,"Eggs,Flour,Yeast",,https://gatherforbread.com/german-soft-pretzel-sticks/,10/4/2017,11/3/2017
Golden French Lentil Soup,⭐⭐⭐,Fairly Easy,Best lentil soup,Main Dish,60,IMG_20171008_191344.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/-O5bjFscrhmSU7AcEm5cbw/54WQJd3Uf7-3mZGFuBhB5wS1Zly7ir2HmlDi79vXS9sSQM2Xcvh0y4FfMWdYcsEd/a_-97QrdEhO1zUpTh7bY3bKI52iQ-bOjhVaLDyhtyVo),Pinterest,,Lentils,,https://www.veggiesdontbite.com/vegan-lentil-stew-oh-she-glows-every-day/,2/1/2019,3/20/2019
Lentil Shepherd's Pie,⭐⭐⭐⭐⭐,Average,So good,Main Dish,90,IMG_20171010_202849.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/8vOoqKnAosFtvVdD3H9mOA/EE1nZqfOxNoS_BTCDPHrb6MQflLm_65v22BfTNUDOvEv-0yictAXS_LCN_xMcYB-/LWh3ge87de8a8RR_OhFLQN6iLAoQarE9p26iO4CvnXA),Pinterest,,"Lentils,Carrots,Onion,Peas,Potatoes",,https://itdoesnttastelikechicken.com/seriously-the-best-lentil-shepherds-pie/,1/2/2018,1/22/2018
Honey Lime Chicken,⭐⭐⭐,Fairly Easy,Doesn't use the stove!  Sear chicken skin longer (+5 minutes),Main Dish,45,IMG_20171011_210405.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/0pr2svqXLrEEnr5NhNDz_Q/ypCXr2Xawhg_I-GGBBYGJcCr311DRU6E7DCfM-V6DCzSE1Q-Top9JEHMqxLGfUzx/9tN49OWPtzyDlkh1I55vBWydIqZmp0wCR7N3LyhKU7w),Pinterest,,"Chicken,Rice",,http://www.juliasalbum.com/2015/09/cilantro-lime-honey-chicken-thighs-recipe/,11/11/2017,12/28/2017
Lentil Curry,⭐⭐,Super Simple,Makes a ton,Main Dish,45,Image 05 November 2017 10:19 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/J49sJHcA0qySXIbJlUA6KQ/cD5oRGjOdC2DgLTPukNLa1kXU6M8Ikl_324iBvxbTnmUsZB7sMrlxoDoQ-Q8NnBq4SCfw1SULW8OFI2xGeH-oA/bjljqIaNPNCOrxxrNgFqtlYNE6mLCNvaEU0Nrwsx_VY),Pinterest,,"Lentils,Carrots,Onion",,https://www.forksoverknives.com/recipes/indian-curry-lentils/#gs.lUICmXM,1/3/2018,3/6/2018
Dutch Oven Bread,⭐⭐⭐⭐⭐,Super Simple,Bake at 180 for 25 min with lid and 15 min without,Baking Basics,60,Image 05 November 2017 10:21 PM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/Svavf-iy6S-1sUBYVTh7OA/LW0bZHWmWo4bZmVqU7UaO5EHckVBPprvyOPBggA2JYcsUtpXXbkHApPgXWXmsBFE202qTNJeb-x8f0thTX9rFQ/NeHoFmIYn6AUaKCzu1kR0uOeb8ng74gVmhfqCpjOZPQ),Pinterest,,"Flour,Yeast",,http://www.nutritiouseats.com/rosemary-dutch-oven-bread/,11/5/2017,11/25/2017
Potato Apple Roast,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20171030_190727.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/vpu4-HOjHr8b7CrLB-27Hg/JhafIUKEiOn2saMuKq8Law6I8j7E3RdUDTnDTgqzsyKrftMeTTMKuKs6XdgM6d2o/H8DGNaWph_ovRoLmBbnmG2_a2zv-ow8Fvu8nQcxcK1c),Pinterest,,"Apple,Potatoes,Ham",,https://www.healthyseasonalrecipes.com/roasted-potatoes-with-apples-sausage-and-maple-mustard-glaze/,7/21/2018,8/20/2018
Baking Powder Biscuits,⭐⭐⭐⭐,Super Simple,,Baking Basics,30,IMG_20171025_194215.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/SnR2UtT1RXgMiwV4yOqzPA/mVBU20wLiY12SDBVOQWZ2FRFnXmfIWUopzytqIBodPSejVEsg_XpoT0On561c80y/uE1u6uNkeHSoYrtAWYIOsYyzcYJzRmk84WoZojygn2Y),Pinterest,,"Flour,Milk,Eggs",,https://www.kingarthurflour.com/recipes/baking-powder-biscuits-recipe,10/25/2017,11/24/2017
Sugar Cookies,⭐⭐⭐⭐⭐,Fairly Easy,,Baking Basics,25,IMG_20171018_201605 (1).jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/ZZCo0o4UZJzYKYy6DpnXCw/aPpRwaioLDDLr20LWx53mjp2dzvA3MAfqEWJ5hvhum5rCM_k6ePmrS0CGmgnZ2oj-q-wfo2Gq9lPsNRBu5d4ow/qQayeIjK7UPh7eiIJfXxc4EAObHdrG18ueXe5ttXlBg),Pinterest,,"Flour,Eggs",,https://deliciouslysprinkled.com/soft-sugar-cookies/,10/18/2017,11/7/2017
Potato Curry,⭐⭐⭐⭐,Fairly Easy,"Too tomatoey, use less tomato, more cream",Main Dish,35,IMG_20171017_203922.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/jsRPdm4LIwmyD2uNUTFSiQ/9-gDuO68yaMyUaI3amsn25vIAKw_XS-Lsc-0U3kcwx6esDvdVkTKeCtFWThuKEp-/HON3t17iCNYCiTD3NZIkjaUw-MCNWJykP0l1VIlMHG8),Pinterest,,"Potatoes,Vegetarian",,http://www.savorytooth.com/easy-weeknight-potato-curry/,1/14/2018,2/13/2018
Bucatini all'Amatriciana,⭐⭐⭐⭐,Hard,Very yummy,Main Dish,45,IMG_20171107_194756.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/gI0wAdSJ2hbTLUSD6Vo-gg/UQO3H84crrTDYoLAal841lackUnq4pq6ilFhYkjNcFlMEKmFZUA0FWhEMItE19us/GPPhZix_kFJQfsBSyjNd1ZS8qHQDSs2qITOTHkge-XA),Pinterest,,"Noodles,Tomatoes,Bacon",,https://www.bonappetit.com/recipe/bucatini-all-amatriciana-2,7/19/2018,8/18/2018
Brioche Chocolate Rolls,⭐⭐⭐⭐,Fairly Easy,,Baking Basics,120,IMG_20171108_194838.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/KcukVdboaGbNL6Ur8Y3uVg/fxRyynPyhH26o_q6xSZY6Jsbk-M3kFJzrKujxFpNQsuNXyS5D90t_6EPxqn3f5fo/_32s5l8x2LZzCx2tY7h_LrJY6kVQ40QnBY1eCu6-W3I),Pinterest,,"Flour,Eggs,Yeast,Fish",,https://tutti-dolci.com/2013/11/brioche-rolls-with-chocolate/,11/7/2017,12/7/2017
Naan,⭐⭐⭐⭐⭐,Fairly Easy,Don't fry too long,Baking Basics,45,IMG_20171115_202417.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/dnpWM3H-wE1nFccDwISzMQ/9nIC4Vt6WbfF9OhlUWcMxCUcGZkb0QTj1eTlXKpa2Xnt2VF_P5Xi-suFr3Tj0IRQ/iax14l6-ZTpdxmGvISxN9fh0RykGuP_eYEyzYT1151s),Pinterest,,"Milk,Yogurt,Flour,Yeast",,https://food52.com/recipes/24144-homemade-naan?utm_source=cj&affil=cj&utm_medium=affiliate&utm_campaign=Food52+Shop&company=Skimlinks&website=7262954,1/3/2018,1/23/2018
Lemon Poppy Seed Scones,⭐⭐⭐⭐⭐,Super Simple,,Baking Basics,30,IMG_20171119_085520.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/MggfO8-8cZhntshPVBKFhA/7unXGxRitLS7soDyUTjSdt3PYog4NmGHlcWFyOPNR1190zj4-ynSn7_kQT1KEqIH/48LDDGffpxrq-zRANZyzDLNd6n25XdpzmN_I4L1w0Pw),Pinterest,,"Flour,Butter,Sour Cream",,http://barefootandbaking.blogspot.ru/2012/05/lemon-poppy-seed-scones.html,11/19/2017,12/9/2017
Balsamic Dijon Root Vegetables,⭐⭐⭐⭐,Fairly Easy,Really yummy - takes a long time to cook,Main Dish,150,IMG_20171118_193436.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/cHdPon6yzTzPcT5zee68xw/ivJ2cnsHNkXQB2CsxXF8zZQBQAI-zTcdySqMcO4IDOwMbFvIJPF4QyxO3TL7UDEX/oohToo3GYSAuS-Y8vH4uZ5gpG0hR-yuSRg1uCUTPi2k),Pinterest,,"Potatoes,Onion,Carrots,Parsnips",,http://www.thecreativebite.com/balsamic-dijon-roasted-root-vegetables/,6/19/2018,7/19/2018
Best Baked Chicken Legs,⭐⭐⭐⭐⭐,Super Simple,Luke loves it,Main Dish,90,IMG_20171121_204505.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/QXOCJYSTrHH3LoP4eFNaBA/aFgzhAvLFmn0xfer8hOll46Xjtzh0rFbiJDXD56KET8-pmxbndotI59DEfk7_JIh/pSxSuF6QTqCeUHe1SEDPShYmdMQp5I5GUARjZd2umhA),Pinterest,,"Chicken,Rice",,https://www.blessthismessplease.com/chicken-legs/?m,1/11/2019,1/31/2019
Spanish Lentil Soup,,Fairly Easy,Burns in an enamel pot,Main Dish,60,,Pinterest,,"Ham,Lentils",,http://www.myrecipes.com/recipe/spanish-style-lentil-soup,11/19/2017,11/19/2017
Chocolate Chip Irish Soda Bread,⭐⭐,Average,Can use enamel pot instead of skillet,Baking Basics,60,,Pinterest,,"Flour,Chocolate Chips",,http://www.delish.com/cooking/recipe-ideas/recipes/a51728/irish-soda-bread-recipe/,12/2/2017,2/2/2018
Malteese Gilatti,⭐⭐,Average,Hard to get them toasty,Baking Basics,120,,Pinterest,,"Flour,Butter,Yeast",,http://www.ilovefood.com.mt/recipes/galletti-recipe/,12/17/2017,2/17/2018
Buckwheat Carrot and Onion,⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Pinterest,,"Buckwheat,Carrots,Onion",,http://www.pinchofcinnamon.com/2011/12/cooking-buckwheat.html,1/10/2018,2/9/2018
Sweet Potatoes with Yogurt and Chickpeas,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,,,"Chickpeas,Potatoes,Yogurt,Eggs",,https://www.prevention.com/food/10-healthy-chickpea-recipes/slide/9,1/8/2019,1/28/2019
Spanish Chickpeas,⭐⭐⭐⭐⭐,Average,Don't forget to make Naan dough ahead of time,Main Dish,45,,,,"Chickpeas,Flour,Yogurt,Onion,Eggs",,https://www.prevention.com/food/10-healthy-chickpea-recipes/slide/3,1/21/2019,2/10/2019
Lemon Fettuchini,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,,,"Noodles,Coconut milk",,https://veganheaven.org/recipe/lemon-spaghetti-with-spinach/,6/1/2018,7/1/2018
Chickpea Masala,⭐⭐⭐⭐⭐,Fairly Easy,Don't forget to make Naan dough ahead of time,Main Dish,40,IMG_20180326_175645649.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/DhFpyRDgrJ58fdpWo-A7AQ/_kiVEFg2_MM-SXEYQv8FvjL3vxMr85_ZdgpQogSzOqnnsSOxR7yCip6TiNeiCHQP/DMNjQNGtlCBUjGi8RTaoVZwY7MPMj93wMdF-UQikamo),,,"Chickpeas,Flour,Yogurt,Eggs",,,11/11/2018,12/1/2018
Chickpea Broccoli Pesto,⭐⭐⭐,Super Simple,,Side Dish,40,,,,"Broccoli,Chickpeas",,,6/1/2018,7/18/2018
Thai Veggie Soup,⭐⭐⭐,Average,,Main Dish,30,IMG_20180327_174117059.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/3_1pHGYrx-IbRvtRFJa5VQ/CGPXzhV6KvAhfQoCxNb_PKVPrYYK0gyWnulC1vM7Nl34K6628HSbAXjTODDwJ-fl/mOONdeeO01v-09koogf0tLeYqM_ufM4tUb13qa5eJVM),,,"Coconut milk,Noodles",,https://www.budgetbytes.com/thai-curry-vegetable-soup/,7/11/2018,8/27/2018
Buttery Herb Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180401_180911317_HDR.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/QoGADxySnFM8ASYPLbfK-Q/y2O8j3DOb8uXsBgZXju1y5EhYGrvBdwJkjUn0wA5Mdm3cqg7yYGdrQLKDNQmU-7WavuoSPNmRWe6qan3kbm3BQ/nu-pk8T8G4LG4BrzOSY_GHNDLk5NJa3BHTowDTCvIis),,,"Chicken,Rice",,,4/1/2018,5/1/2018
Rosemary Parsnips,⭐⭐⭐⭐⭐,Super Simple,Can throw in carrots as well,Main Dish,35,IMG_20180401_180921951_HDR.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/ctAo7mhC8SvBN6i6DkzbUg/a3SLBREl01ULZg6d_uUwxqQ0hdI1frcxA5VS-gwfnpCY7LN__x3SdPl4bqvJsdcO8fIYnT1urrgVi6SiothP_g/nxiMoKKD6SOfrNgPfXJPV2vmW30YxeWaeTN53E1K4qI),,,Parsnips,,,4/1/2018,4/21/2018
Balsamic Potatoes and Asparagus,⭐⭐⭐,Super Simple,Potatoes for 25 min then aspargus for 15,Main Dish,40,,,,"Potatoes,Asparagus",,http://wallflowerkitchen.com/balsamic-roasted-new-potatoes-asparagus/,3/30/2018,5/16/2018
Quinoa Brussels Sweet Potato Salad,⭐⭐⭐⭐,Average,,Main Dish,40,,,,"Quinoa,Brussels Sprouts ,Sweet potato",,https://laurenkellynutrition.com/sweet-potato-brussels-sprout-quinoa-bowl/,12/30/2018,1/29/2019
Thai Peanut Cabbage Quinoa,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180430_173418382_HDR.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/jlgkur49_ZIIfvjJVOMGeA/3Wf7NLYZYPVbyoIZLf2szh71TwPEfzdnzkChK_IN3eh3N9U_7WHspdm3OgfXmjrBcJyIqTa8-NQkC_IQQV-gTw/eF6Ajp-Go3g0LnQZm0nukDK8fsHwkPRiX8aSXxow97k),,,"Quinoa,Cabbage,Peanut",,https://cookieandkate.com/2017/thai-peanut-quinoa-salad-recipe/,2/16/2019,3/18/2019
Lemon Garlic Asparagus with Orzo,⭐⭐⭐,Average,,Main Dish,30,,,,"Orzo,Asparagus",,https://www.thegardengrazer.com/2018/03/lemon-garlic-orzo-with-asparagus.html,6/13/2018,7/30/2018
Moroccan Sweet Potato Lentil Stew,⭐⭐⭐,Average,,Main Dish,60,IMG_20180416_180744528.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/VNgyiFUDaBhC1afNpJSjrA/9YErKFOGMOt-ROPtAVi-EsBIDIBO-IgKmXDy6yjVfxQmjejKfgwPmO8-cShiKM_Q/yPfTCzFpoE3Sh8omDfDRn9kQnDcIQUruCQ9XW7GqtTo),,,"Sweet potato,Lentils,Spinach,Onion,Carrots",,https://monkeyandmekitchenadventures.com/moroccan-sweet-potato-lentil-stew/,4/16/2018,6/2/2018
