Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Chewy Chocolate Chip COokies,⭐⭐⭐⭐⭐,Fairly Easy,,Dessert,30,IMG_20180804_143434172_HDR.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/l0qLtKP_GG73snN9o7lZJA/_5IcuS8wlFLfGy1Ynw02PSkMPIUcgPyBazTYyiyp446mLGl8vy12j_c2I4ZSxgttcMAdhuDscf2x6hdox0ykpg/_nzuqN9sOctRwnfYDVC7UKysnVnx1AcZOVW2q77QgFY),Pinterest,,"Butter,Chocolate Chips,Flour",,https://www.ihearteating.com/chewy-brown-sugar-chocolate-chip-cookie-recipe/,9/10/2018,9/30/2018
Quinoa Peanut Kale Curry,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20180823_204308156_HDR.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/dVMjYIIsDxNhzxMvyfmkHQ/piNXddsAlAAKyWOQ-eYswXb74OqxX9rfqS2XhpoJTduQxYkBwFpsUHPxlLuQ8BDApC9bQEg9nMmA8O1bMFeA7A/73_vQ2LEnJSi6vu91pNZ9dH7_pVhkQyVcRuHcvhJstw),,,"Quinoa,Kale,Peanut,Cilantro,Onion,Coconut milk",,https://www.cookinglight.com/recipes/chickpea-and-kale-curry,12/28/2018,1/27/2019
Sweet Potato Lentil Curry with Pickled Onion,⭐⭐⭐⭐,Average,,Main Dish,60,"IMG_20180813_172915204_HDR.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/ODGbVc1baAk6uq410hLSVA/AMW9WOMNaDnQAUAeYLAPR-xKeOpQ54hXZSX0qXTQsfkFf8elqB7UbCK4TULlCeE9qwxGOxRxMWbRr0rOF2KkPQ/VRuDWjh7TAezCl2O8xneFdiVIHNxz5Ja24Xt8dkbEPA),IMG_20180813_172921095_HDR.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/bCNJLkSZ1FZp0Yv2mhiEcQ/_rikqSgOM9Oh79vk7UmaX9kzwKa-daYau0v2o9BSN9KksGElU9fDEuSVneNVZOOMO01sSwM-E57edtoutl-2dg/nMSc1oOW7PmXfWS9eNMoi_ltOasprVsL6MRp-PUIsUY)",,,"Sweet potato,Red onion,Lentils,Ginger,Coconut milk,Cilantro",checked,https://www.cookinglight.com/recipes/sweet-potato-and-red-lentil-curry,2/2/2019,3/4/2019
Sardine Mediterranean Pasta,⭐⭐⭐,Fairly Easy,,Main Dish,30,IMG_20180814_172611816_HDR.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/xZF_jOCXPkR4_fQINBD7fw/GYUHl1oRAYLMz67YYXG62K7Y6f4qj8eXGyyg7fNRIBeXRADcyGvI9hf38PVWuSywbJ4h3s3Y7y6MLhfAwLml1w/EUtjxp1tU_7oD3gpZjyf_1RJftdHeEAEHiJ7X9ygfqU),,,"Sardine,Capers,Shallots,Lemon,Parsley",,https://toriavey.com/toris-kitchen/mediterranean-sardine-lemon-pasta/,2/4/2019,3/23/2019
Prosciutto apple flatbread pizza,⭐⭐⭐,Fairly Easy,,Main Dish,45,,Sheet Pan Suppers,,"Apple,Prosciutto,Cheese",,,9/23/2018,11/9/2018
Dill Cucumber Salmon,⭐⭐⭐⭐,Average,,Main Dish,30,Image 23 September 2018 09:05 AM.jpg (https://v5.airtableusercontent.com/v1/21/21/1697155200000/X-zAXv-whignNjPM-VOVwA/yewxjXjC0y1FgpvtFEGf6G3Xb6T03rY668f6S3DyxVIVuamQQEue_CR4ohlWTrECjC_DOaMhmtnEhIq_j6OIrg/uLg-oLF_fFnvZn6sF7Rpm-GK9M-gly3s8djYqxDHG6w),Sheet Pan Suppers,,"Fish,Yogurt,Cucumber,Dill,Broccoli,Red onion",,,11/2/2018,12/2/2018
Vegetable Couscous,⭐⭐⭐⭐⭐,,,Main Dish,,,Good Housekeeping,380,"Couscous,Green Onion,Carrots",,,1/30/2019,2/19/2019
Talapia Tacos,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,Sheet Pan Suppers,90,Tilapia,,,10/26/2018,11/25/2018
Roasted Mackerel,,,,,,,Taste of Home,,,,,11/30/2018,11/30/2018
Lentil Salsa Soup,⭐⭐⭐⭐,,,,,,Taste of Home,,,,,12/7/2018,1/6/2019
Pesto Tomato Penne,⭐⭐⭐,Super Simple,,Main Dish,20,,,,Pesto,,https://www.foodnetwork.com/recipes/giada-de-laurentiis/penne-with-sun-dried-tomato-pesto-recipe-1942250,1/13/2019,3/1/2019
Black Bean Soup,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,Taste From Home,,,,,2/13/2019,3/15/2019
Balsamic Pork Chops,,,,,,,,,,,,2/14/2019,2/14/2019
